station_id,station_name,available_mechanical_bikes,available_electric_bikes,available_empty_docks,latitude,longitude,date
213688169,Benjamin Godard - Victor Hugo,3,0,32,48.865983,2.275725,2021-05-25 18:36:42
99950133,André Mazet - Saint-André des Arts,47,2,6,48.85375581057431,2.3390958085656166,2021-05-25 18:39:41
516709288,Charonne - Robert et Sonia Delauney,0,3,17,48.85590755596891,2.3925706744194035,2021-05-25 18:36:58
36255,Toudouze - Clauzel,3,5,13,48.87929591733507,2.3373600840568547,2021-05-25 18:39:39
37815204,Mairie du 12ème,8,2,20,48.84085531176338,2.3875549435615544,2021-05-25 18:38:24
100769544,Harpe - Saint-Germain,30,7,9,48.85151881501689,2.343670316040516,2021-05-25 18:39:35
85002689,Jourdan - Stade Charléty,4,2,51,48.81942833336948,2.343335375189781,2021-05-25 18:37:12
54000559,Jouffroy d'Abbans - Wagram,0,2,38,48.881973298351625,2.301132157444954,2021-05-25 18:36:27
85043758,Guersant - Gouvion-Saint-Cyr,2,2,25,48.88287775178599,2.287667370814871,2021-05-25 18:39:09
123095125,Alibert - Jemmapes,12,6,41,48.8710440519842,2.366104461987773,2021-05-25 18:39:45
251039991,Cassini - Denfert-Rochereau,0,2,22,48.83752583906732,2.336035408079624,2021-05-25 18:36:30
37874517,Saint-Sulpice,10,1,10,48.85165383178419,2.3308077827095985,2021-05-25 18:38:21
66491398,Le Brun - Gobelins,4,7,37,48.835092787823875,2.353468135133752,2021-05-25 18:38:22
210403080,Lacépède - Monge,12,2,9,48.84389286531899,2.3519663885235786,2021-05-25 18:33:03
210561800,Saint-Romain - Cherche-Midi,1,1,15,48.84708159081946,2.321374788880348,2021-05-25 18:37:28
209063434,André Karman - République,4,0,28,48.91039875761846,2.3851355910301213,2021-05-25 18:37:44
94555589,Pierre et Marie Curie - Maurice Thorez,3,8,16,48.81580226360801,2.376804985105991,2021-05-25 18:39:40
244498842,Bois de Vincennes - Gare,38,2,8,48.836022242886884,2.4708339950830287,2021-05-25 18:39:10
43195240,Silly - Galliéni,5,3,17,48.835583838705936,2.2325500845909123,2021-05-25 18:39:47
210405211,Beaux-Arts - Bonaparte,7,2,12,48.856451985395786,2.334851883351803,2021-05-25 18:35:26
501862076,Place Nelson Mandela ,0,2,20,48.862090937689715,2.196576297283173,2021-05-25 18:36:31
207633746,Grande Armée - Brunel,11,2,48,48.876116,2.288124,2021-05-25 18:32:30
210566542,Square Boucicaut,22,1,37,48.851296433665276,2.325061820447445,2021-05-25 18:38:53
437597018,Invalides - Duroc,12,1,16,48.8477924732952,2.3161920905113225,2021-05-25 18:38:46
210565680,Vaneau - Sèvres,7,10,18,48.84856323305935,2.3204218259345537,2021-05-25 18:38:22
210397939,Thouin - Cardinal Lemoine,3,3,11,48.84504716661511,2.3494647851273465,2021-05-25 18:39:28
82405965,Froment - Bréguet,27,4,12,48.8570414504784,2.37289470306807,2021-05-25 18:39:41
